epoch,acc,loss,val_acc,val_loss
0,0.238546603664,1.93604852671,0.312302837613,1.46158155884
1,0.275671406009,1.48810229332,0.312302837613,1.41003457906
2,0.272511848482,1.44950113421,0.312302837613,1.39833996123
3,0.315955766381,1.42481978282,0.312302837613,1.3871239954
4,0.292259083799,1.41859810688,0.312302837613,1.36799492294
5,0.313586098088,1.40459470142,0.416403785301,1.31564182325
6,0.372827804296,1.33909207818,0.63091482349,1.15146909076
7,0.537914691755,1.07942433596,0.851735014457,0.552086676615
8,0.788309636839,0.562682177077,0.921135646688,0.275722895887
9,0.856240126853,0.385109555971,0.92429022082,0.230039093538
10,0.893364929004,0.3042683664,0.911671922598,0.237419960063
11,0.903633490935,0.254096947599,0.924290219128,0.209463676444
12,0.89889415463,0.254464955409,0.927444794953,0.192451633137
13,0.913112164297,0.230223956319,0.92744479326,0.179563383575
14,0.913902053336,0.221798767811,0.930599367393,0.179539290912
15,0.913112164297,0.221260802164,0.924290221196,0.1832573859
16,0.927330173399,0.195629825454,0.933753943218,0.180816299908
17,0.9186413903,0.199313830896,0.933753939833,0.16547183542
18,0.927330174341,0.182621997962,0.914826498799,0.215217679175
19,0.924960506471,0.184911526775,0.927444794953,0.18981542584
20,0.928120062815,0.196227707675,0.936908513966,0.175918309611
21,0.938388625592,0.170827208258,0.936908513966,0.164526650653
22,0.929699842493,0.185709821458,0.927444791568,0.182184715
23,0.928120063285,0.179456102669,0.936908513966,0.173999637929
24,0.932069510269,0.170132631827,0.933753939833,0.17741406387
25,0.928120063756,0.174073252774,0.924290217436,0.190819996295
26,0.932859400626,0.167649671271,0.933753939833,0.163009977209
27,0.930489731438,0.173716316726,0.940063088098,0.174476601818
28,0.932859399307,0.15794455506,0.933753943594,0.184721873762
29,0.929699842022,0.17721186204,0.940063088098,0.165648073052
30,0.938388625216,0.153096819847,0.936908513966,0.178560382184
31,0.939178514631,0.167092058013,0.933753939833,0.169855730391
32,0.92890995223,0.164951163493,0.933753939833,0.167242965112
33,0.932859399967,0.164446532161,0.933753939833,0.185130254092
34,0.936018956969,0.174399178269,0.936908513966,0.16842688935
