epoch,acc,loss,val_acc,val_loss
0,0.287101259336,1.93123566456,0.328903671383,1.65668401607
1,0.329264925319,1.67689570594,0.506090837856,1.59521688417
2,0.380582539433,1.61250767615,0.572536011999,1.43664345908
3,0.525658827499,1.37361882543,0.686600256336,0.850989448932
4,0.709015292219,0.904642725685,0.808416418327,0.537818243106
5,0.783079091785,0.668215747944,0.833887063256,0.485403310652
6,0.803606134364,0.575752965108,0.825027706087,0.482813959898
7,0.808044409636,0.532713261739,0.846068685369,0.453620009817
8,0.819140106729,0.507649543447,0.839424166568,0.452800340835
9,0.825797530517,0.480775094727,0.869324503019,0.422085194451
10,0.840776726112,0.462341765813,0.847176100857,0.467844724078
11,0.838002803719,0.449263075949,0.853820619657,0.461299460583
12,0.846601977626,0.422400788891,0.857142877209,0.44587604869
13,0.84521500856,0.418801890704,0.866002245467,0.428610152745
14,0.850485463976,0.399936959755,0.856035461721,0.451327835867
15,0.851040250352,0.405149127268,0.871539333994,0.413414535596
16,0.855478530254,0.401115782183,0.852713207866,0.468529992787
17,0.861026382562,0.389011692769,0.869324499322,0.425625835798
18,0.865464665242,0.374200246635,0.861572557642,0.419830475089
19,0.871289896849,0.359608417055,0.858250303786,0.450081490269
20,0.856033318946,0.365445639468,0.87153933769,0.421680276015
21,0.866851628868,0.354465503962,0.868217080138,0.41554738662
22,0.871012508522,0.342142798773,0.872646753178,0.417219484846
23,0.879334292597,0.338674266361,0.866002234378,0.421170684025
